Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,953.50,953.50,929.50,940.50,2147300,893.255
2016-10-24,943.00,954.50,912.00,952.50,2680100,904.653
2016-10-17,883.00,950.50,865.00,918.50,3183000,872.361
2016-10-10,894.00,931.00,851.00,882.50,4064600,838.169
2016-10-03,1003.00,1015.78,884.28,896.00,7486600,850.991
2016-09-26,1030.00,1036.08,992.50,1007.00,3265800,956.415
2016-09-19,1090.00,1095.00,1015.00,1034.00,2890700,982.059
2016-09-12,1177.00,1177.00,1068.00,1075.00,3536800,1020.999
2016-09-05,1146.00,1228.00,1115.95,1188.00,2918100,1128.323
2016-08-29,1101.00,1145.00,1101.00,1139.00,2035500,1081.784
2016-08-22,1099.00,1128.00,1095.00,1101.00,1625900,1045.693
2016-08-15,1102.00,1128.00,1044.00,1105.00,2525400,1049.492
2016-08-08,1039.00,1101.22,1034.00,1101.00,2349500,1045.693
2016-08-01,1049.00,1049.00,996.682,1035.00,2262100,983.008
2016-07-25,1033.00,1058.00,973.00,1041.00,3645000,988.707
2016-07-18,1144.00,1163.70,1020.00,1027.00,3570400,975.41
2016-07-11,1086.00,1178.00,1069.00,1140.00,2930500,1082.734
2016-07-04,1100.00,1103.00,999.68,1070.00,2350900,1016.25
2016-06-27,1200.00,1222.00,990.00,1092.00,5755700,1037.145
2016-06-20,1477.00,1544.00,1167.00,1313.00,2830600,1247.043
2016-06-13,1421.00,1446.00,1376.00,1441.00,1877300,1368.614
2016-06-06,1535.00,1535.00,1430.00,1435.00,1343500,1362.915
2016-05-30,1552.00,1557.00,1504.00,1524.00,1624800,1447.444
2016-05-23,1474.00,1566.00,1464.00,1552.00,1804900,1474.038
2016-05-16,1432.00,1492.24,1417.00,1470.00,1557900,1396.157
2016-05-09,1445.00,1527.00,1429.00,1433.00,2231700,1361.016
2016-05-02,1473.00,1479.00,1413.65,1416.00,1273500,1344.87
2016-04-25,1449.00,1519.00,1437.00,1473.00,1616400,1399.006
2016-04-18,1443.00,1485.00,1429.00,1447.00,1169500,1374.312
2016-04-11,1454.00,1492.27,1438.42,1447.00,1271900,1374.312
2016-04-04,1530.00,1548.05,1440.00,1454.00,1861100,1380.961
2016-03-28,1501.00,1578.00,1501.00,1528.00,1400200,1451.243
2016-03-21,1508.00,1528.00,1415.00,1501.00,1101900,1425.60
2016-03-14,1525.00,1553.28,1469.00,1514.00,1538600,1437.947
2016-03-07,1546.00,1557.00,1493.00,1521.00,1629200,1444.595
2016-02-29,1477.00,1557.70,1476.00,1552.00,1606200,1474.038
2016-02-22,1566.00,1582.00,1467.00,1494.00,1681600,1418.951
2016-02-15,1506.00,1582.00,1502.00,1553.00,1531600,1421.21
2016-02-08,1530.00,1537.00,1458.00,1486.00,2022500,1359.896
2016-02-01,1552.00,1607.00,1513.00,1521.00,1806000,1391.925
2016-01-25,1651.00,1668.00,1506.00,1548.00,2768800,1416.634
2016-01-18,1605.00,1653.00,1585.30,1640.00,1329800,1500.827
2016-01-11,1715.00,1745.00,1593.00,1612.00,1549800,1475.203
2016-01-04,1730.00,1767.00,1663.68,1713.00,1473600,1567.632
