Date,Open,High,Low,Close,Volume,Adj Close
2015-11-30,1641.00,1666.55,1631.00,1653.00,1887200,1507.214
2015-11-27,1620.00,1656.00,1612.00,1632.00,1243500,1488.066
2015-11-26,1602.00,1635.00,1599.00,1627.00,1012600,1483.507
2015-11-25,1597.00,1615.00,1582.00,1604.00,1335000,1462.536
2015-11-24,1643.00,1643.00,1557.00,1594.00,3723300,1453.418
2015-11-23,1681.00,1687.00,1645.00,1646.00,1749800,1500.831
2015-11-20,1687.00,1699.00,1641.30,1685.00,2332500,1536.392
2015-11-19,1692.00,1733.00,1692.00,1714.00,1276500,1562.834
2015-11-18,1704.00,1710.00,1670.88,1694.00,2774200,1544.598
2015-11-17,1721.00,1754.00,1684.00,1710.00,4237400,1559.187
2015-11-16,1755.00,1794.00,1728.00,1783.00,2581900,1625.749
2015-11-13,1773.00,1809.00,1771.00,1790.00,1082600,1632.131
2015-11-12,1801.00,1804.00,1766.00,1781.00,731900,1623.925
2015-11-11,1787.00,1808.00,1779.00,1802.00,951300,1643.073
2015-11-10,1789.00,1792.00,1765.00,1781.00,773200,1623.925
2015-11-09,1806.00,1809.00,1763.00,1784.00,1094000,1626.661
2015-11-06,1780.00,1806.00,1774.00,1798.00,1627800,1639.426
2015-11-05,1734.00,1787.00,1723.00,1772.00,1769400,1615.719
2015-11-04,1737.00,1748.54,1720.00,1732.00,1045800,1579.247
2015-11-03,1711.00,1731.00,1702.00,1723.00,1300600,1571.04
2015-11-02,1710.00,1726.00,1685.00,1713.00,1996000,1561.922
2015-10-30,1749.00,1758.50,1729.00,1750.00,1021500,1595.659
2015-10-29,1770.00,1794.00,1728.00,1746.00,1575700,1592.012
2015-10-28,1795.00,1800.00,1763.00,1770.00,842900,1613.895
2015-10-27,1771.00,1793.00,1765.00,1782.00,718400,1624.837
2015-10-26,1766.00,1790.89,1759.00,1775.00,694200,1618.454
2015-10-23,1730.00,1797.00,1717.00,1766.00,1358000,1610.248
2015-10-22,1726.00,1727.92,1696.63,1720.00,686100,1568.305
2015-10-21,1735.00,1746.00,1713.00,1726.00,885700,1573.776
2015-10-20,1751.00,1756.75,1717.00,1731.00,1230000,1578.335
2015-10-19,1715.00,1747.00,1713.00,1747.00,588300,1592.924
2015-10-16,1724.00,1736.00,1715.00,1723.00,1386000,1571.04
2015-10-15,1712.00,1725.00,1697.00,1721.00,1301100,1569.217
2015-10-14,1712.00,1736.00,1703.00,1704.00,958300,1553.716
2015-10-13,1711.00,1748.00,1709.99,1723.00,745600,1571.04
2015-10-12,1690.00,1711.00,1679.00,1705.00,875300,1554.628
2015-10-09,1710.00,1714.00,1673.00,1695.00,1309800,1545.51
2015-10-08,1675.00,1711.00,1675.00,1704.00,1397100,1553.716
2015-10-07,1728.00,1749.15,1655.00,1672.00,3726700,1524.538
2015-10-06,1820.00,1820.00,1760.00,1760.00,1553000,1604.777
2015-10-05,1770.00,1808.00,1762.28,1808.00,1139100,1648.544
2015-10-02,1778.00,1790.00,1742.00,1748.00,976200,1593.836
2015-10-01,1795.00,1807.00,1761.00,1765.00,1497100,1609.336
2015-09-30,1774.00,1787.00,1765.00,1777.00,959100,1620.278
2015-09-29,1755.00,1766.83,1739.66,1744.00,1031200,1590.188
2015-09-28,1791.00,1804.00,1763.00,1771.00,1421500,1614.807
2015-09-25,1786.00,1801.34,1775.00,1796.00,1129400,1637.602
2015-09-24,1760.00,1798.00,1744.00,1756.00,1759200,1601.13
