DATE,XUDLADS,XUDLBK25,XUDLBK47,XUDLBK85,XUDLBK87,XUDLBK89,XUDLBK93,XUDLBK95,XUDLBK97,XUDLCDS,XUDLDKS,XUDLERS,XUDLHDS,XUDLJYS,XUDLNDS,XUDLNKS,XUDLSFS,XUDLSGS,XUDLSKS,XUDLSRS,XUDLTWS,XUDLUSS,XUDLZRS
03 Jan 2012,1.5064,30.8252,5.3472,49.5669,49.0658,9.8413,1796.1073,2.9357,83.0584,1.5778,8.9081,1.1979,12.1465,119.9907,1.978,9.2441,1.4576,2.0058,10.6832,5.8638,47.3638,1.5636,12.5623
04 Jan 2012,1.5107,31.3196,5.4432,49.7418,49.184,9.8245,1796.5179,2.9439,82.5092,1.5835,8.9937,1.2093,12.1248,119.7835,1.9854,9.2937,1.4733,2.0103,10.7349,5.8535,47.2719,1.5609,12.7477
05 Jan 2012,1.5108,31.2794,5.4563,49.5903,48.9942,9.7546,1788.4044,2.9177,81.9279,1.5808,8.9977,1.21,12.0218,119.3508,1.9831,9.308,1.474,2.0019,10.7112,5.8055,46.827,1.548,12.6676
06 Jan 2012,1.5066,31.4001,5.4352,49.2417,48.8896,9.7208,1788.0984,2.8918,81.1693,1.5779,9.0101,1.2119,11.9651,118.8265,1.9731,9.2841,1.4735,1.9935,10.6934,5.7785,46.5707,1.5408,12.5497
09 Jan 2012,1.5105,31.3128,5.4377,49.3026,49.1028,9.7532,1790.8865,2.8946,80.9525,1.5855,9.0172,1.2127,11.9938,118.7025,1.9684,9.2868,1.4717,2.004,10.6949,5.7926,46.6392,1.5446,12.6052
10 Jan 2012,1.4993,31.2208,5.4077,48.8993,49.0505,9.7793,1787.7798,2.8932,79.9336,1.5778,9.0126,1.2121,12.0283,118.9324,1.9494,9.273,1.4714,1.9961,10.6622,5.8082,46.519,1.5488,12.5713
11 Jan 2012,1.4932,31.2846,5.4055,48.7879,48.8014,9.6972,1782.0638,2.8639,79.5518,1.5677,9.001,1.2105,11.9282,118.1184,1.9342,9.275,1.4667,1.9851,10.647,5.7588,46.0296,1.5356,12.4855
12 Jan 2012,1.486,30.6033,5.2803,48.3881,48.6991,9.6781,1770.1871,2.8363,78.9235,1.5636,8.9025,1.1971,11.8992,117.5886,1.9328,9.197,1.4493,1.9771,10.6175,5.7452,45.9225,1.5319,12.3681
13 Jan 2012,1.4859,30.8548,5.3326,48.7894,48.6751,9.6395,1757.775,2.8442,78.626,1.5659,8.973,1.2068,11.8746,117.6639,1.9299,9.2825,1.46,1.9776,10.709,5.7325,45.8168,1.5285,12.468
16 Jan 2012,1.4838,30.9983,5.3195,48.5573,48.8657,9.6812,1765.7856,2.8401,78.7323,1.5607,8.9931,1.2095,11.9077,117.5658,1.9266,9.2786,1.4615,1.9778,10.7171,5.7488,46.0606,1.5328,12.3815
17 Jan 2012,1.477,30.9439,5.2632,48.561,48.7521,9.6947,1757.1494,2.8345,77.7577,1.5575,8.9633,1.2055,11.9239,117.9418,1.9191,9.2563,1.4577,1.973,10.6254,5.7584,46.0266,1.5355,12.3815
18 Jan 2012,1.4833,30.7046,5.2248,48.5599,48.948,9.7234,1756.0128,2.8295,77.7745,1.5621,8.9385,1.2021,11.9571,118.3104,1.9125,9.2488,1.4537,1.9716,10.5737,5.7781,46.1902,1.5407,12.3507
19 Jan 2012,1.4856,30.4254,5.1864,48.4658,48.932,9.7743,1756.1804,2.8296,77.6536,1.5616,8.926,1.2004,12.0089,119.2658,1.9303,9.1774,1.4497,1.9721,10.5191,5.8037,46.3863,1.5475,12.2777
20 Jan 2012,1.4848,30.5814,5.1855,48.667,48.9348,9.832,1759.7588,2.8457,77.9821,1.5742,8.9348,1.2016,12.0502,119.7288,1.93,9.2113,1.4507,1.9776,10.5431,5.8225,46.5362,1.5525,12.3487
23 Jan 2012,1.4782,30.2995,5.1159,48.0911,48.9527,9.8763,1767.6933,2.8377,77.975,1.5698,8.8877,1.1953,12.1027,120.0971,1.9217,9.1422,1.4441,1.9745,10.498,5.8484,46.7226,1.5595,12.3497
24 Jan 2012,1.4896,30.4295,5.1421,48.036,49.1146,9.8712,1762.8118,2.8423,78.1298,1.5755,8.9276,1.2008,12.0954,121.1266,1.9265,9.1876,1.4494,1.9797,10.5694,5.8456,46.563,1.5587,12.4166
25 Jan 2012,1.4876,30.4332,5.1589,47.8553,49.2362,9.8706,1759.7373,2.8468,78.2261,1.5775,8.9315,1.2013,12.098,121.9137,1.9347,9.2229,1.4512,1.9814,10.6266,5.8451,46.6957,1.5586,12.5352
26 Jan 2012,1.4742,29.9888,5.0488,47.5253,49.0217,9.9409,1760.497,2.8071,78.3987,1.5692,8.8679,1.1929,12.1763,121.3535,1.9103,9.1269,1.4394,1.9725,10.5981,5.887,47.0282,1.5697,12.2259
27 Jan 2012,1.4741,30.0307,5.0499,47.4333,48.6648,9.9225,1758.498,2.7925,77.3999,1.5692,8.8693,1.1931,12.1498,120.2206,1.9045,9.136,1.4394,1.9641,10.6328,5.8761,46.8395,1.5668,12.182
