Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,44.50,44.65,43.75,44.00,246500,44.00
2016-11-29,45.00,46.50,44.00,44.00,318200,44.00
2016-11-28,45.00,45.00,43.58,44.00,282700,44.00
2016-11-25,44.50,44.85,43.475,44.00,221500,44.00
2016-11-24,44.50,45.00,43.50,45.00,284900,45.00
2016-11-23,43.75,44.912,43.50,44.50,493000,44.50
2016-11-22,43.00,44.59,42.513,43.25,339600,43.25
2016-11-21,44.00,47.615,42.625,44.00,644500,44.00
2016-11-18,45.00,45.00,42.75,43.25,654600,43.25
2016-11-17,45.50,46.00,42.00,43.50,1307200,43.50
2016-11-16,46.00,46.50,45.00,45.50,764700,45.50
2016-11-15,46.50,46.50,44.45,45.75,1814000,45.75
2016-11-14,43.00,46.088,43.00,45.25,1823000,45.25
2016-11-11,42.00,44.00,41.039,43.75,1701200,43.75
2016-11-10,40.50,42.50,37.25,42.25,2592800,42.25
2016-11-09,33.00,41.15,29.90,39.75,2542100,39.75
2016-11-08,34.00,35.78,32.25,35.00,5692400,35.00
2016-11-07,35.00,35.00,31.00,33.25,1199600,33.25
2016-11-04,34.25,35.015,34.25,34.75,479100,34.75
2016-11-03,36.75,37.00,30.45,34.25,1294700,34.25
2016-11-02,37.00,37.34,35.50,36.00,360700,36.00
2016-11-01,37.00,37.38,36.50,36.50,316300,36.50
2016-10-31,37.75,38.52,36.00,36.75,1028200,36.75
2016-10-28,38.00,38.25,37.325,37.50,1227400,37.50
2016-10-27,38.00,38.25,36.25,37.00,1233800,37.00
2016-10-26,40.50,42.00,34.143,37.00,5499900,37.00
2016-10-25,42.00,42.53,40.50,40.50,664900,40.50
2016-10-24,40.00,41.85,39.25,41.25,285300,41.25
2016-10-21,40.25,42.50,39.45,40.50,1152400,40.50
2016-10-20,41.25,42.00,39.875,41.25,532200,41.25
2016-10-19,41.50,41.50,39.65,40.75,473500,40.75
2016-10-18,40.25,42.25,39.15,40.00,1077800,40.00
2016-10-17,43.00,43.00,41.00,41.00,243800,41.00
2016-10-14,40.50,42.25,39.25,42.00,628800,42.00
2016-10-13,41.75,42.25,39.263,40.25,793400,40.25
2016-10-12,42.50,43.00,39.50,41.50,789800,41.50
2016-10-11,41.75,42.70,41.50,41.75,437900,41.75
2016-10-10,44.00,45.00,40.00,41.75,1385800,41.75
2016-10-07,44.50,45.43,42.425,43.75,1404500,43.75
2016-10-06,47.50,47.75,42.825,44.75,2591600,44.75
2016-10-05,48.75,50.75,48.00,49.00,991900,49.00
2016-10-04,49.50,51.00,48.44,49.00,652900,49.00
2016-10-03,50.00,50.00,48.225,49.25,295900,49.25
2016-09-30,50.00,50.00,48.58,49.75,161500,49.75
2016-09-29,50.00,51.75,48.112,49.75,800000,49.75
2016-09-28,50.75,50.75,49.46,49.75,59700,49.75
2016-09-27,50.75,50.75,48.65,50.00,345400,50.00
2016-09-26,50.25,52.50,48.75,49.50,824500,49.50
2016-09-23,52.75,52.75,50.067,50.75,3064600,50.75
2016-09-22,52.50,53.20,51.40,51.50,3168300,51.50
2016-09-21,51.75,52.50,51.25,52.00,1335400,52.00
2016-09-20,51.50,52.00,50.50,51.00,840600,51.00
2016-09-19,50.50,52.25,50.50,51.25,489900,51.25
2016-09-16,48.00,51.50,47.75,51.50,835800,51.50
2016-09-15,49.50,51.25,48.50,48.75,914100,48.75
2016-09-14,52.75,52.78,48.73,49.25,824900,49.25
2016-09-13,52.00,52.50,50.50,51.50,625800,51.50
2016-09-12,53.00,53.24,49.30,51.75,601100,51.75
2016-09-09,51.75,54.27,51.45,53.00,2899000,53.00
2016-09-08,53.50,53.98,52.00,52.25,6897800,52.25
2016-09-07,52.00,54.63,52.00,53.00,2427500,53.00
2016-09-06,51.00,56.75,51.00,52.50,1928600,52.50
2016-09-05,50.00,52.00,49.55,51.50,701400,51.50
2016-09-02,49.50,50.775,48.388,49.50,2008000,49.50
2016-09-01,48.50,50.00,45.962,48.25,2389400,48.25
2016-08-31,45.50,48.00,45.50,47.25,2201100,47.25
2016-08-30,46.25,46.25,43.50,45.50,1235600,45.50
2016-08-26,45.00,45.80,43.50,43.50,370300,43.50
2016-08-25,46.50,46.90,43.25,44.50,9171000,44.50
2016-08-24,46.25,47.25,46.25,46.25,1265400,46.25
2016-08-23,46.25,47.867,46.25,46.50,838300,46.50
2016-08-22,47.00,48.355,45.30,46.25,1455600,46.25
2016-08-19,45.25,49.145,42.188,46.00,2251000,46.00
2016-08-18,40.50,45.825,40.50,45.50,2345700,45.50
2016-08-17,39.25,40.75,39.25,40.00,777800,40.00
2016-08-16,39.25,39.75,38.75,39.75,441400,39.75
2016-08-15,39.00,39.84,38.325,39.00,1261700,39.00
2016-08-12,38.50,38.85,38.05,38.50,793600,38.50
2016-08-11,38.50,38.50,37.44,38.00,444000,38.00
2016-08-10,39.25,39.25,37.00,38.00,942400,38.00
2016-08-09,38.00,38.75,36.78,38.25,603400,38.25
2016-08-08,38.50,39.25,37.711,38.00,1077300,38.00
2016-08-05,38.75,39.75,38.25,38.50,781100,38.50
2016-08-04,38.50,39.25,37.50,38.75,692000,38.75
2016-08-03,39.00,39.733,38.00,38.00,1095700,38.00
2016-08-02,39.00,40.25,36.308,39.25,1568300,39.25
2016-08-01,37.75,40.25,37.25,39.00,1142000,39.00
2016-07-29,38.50,38.50,35.775,38.00,1124700,38.00
2016-07-28,38.00,39.60,37.25,37.25,2251300,37.25
2016-07-27,40.00,41.313,37.25,38.75,3087300,38.75
2016-07-26,42.75,42.805,41.00,42.00,485900,42.00
2016-07-25,42.00,43.00,40.60,42.75,526800,42.75
2016-07-22,41.00,42.25,40.15,42.00,602300,42.00
2016-07-21,40.25,42.30,39.62,40.50,1306000,40.50
2016-07-20,39.00,40.50,39.00,40.25,833300,40.25
2016-07-19,40.25,40.35,39.00,39.75,600900,39.75
2016-07-18,38.75,40.776,37.50,40.00,1206400,40.00
2016-07-15,40.00,40.00,38.25,38.50,847300,38.50
2016-07-14,38.50,40.00,38.25,39.75,419200,39.75
2016-07-13,40.00,40.925,39.30,40.00,711700,40.00
2016-07-12,38.50,40.525,37.80,39.75,1320400,39.75
2016-07-11,36.25,39.25,36.16,38.50,1494000,38.50
2016-07-08,36.50,37.475,34.225,36.00,1533400,36.00
2016-07-07,36.75,37.50,36.00,36.75,1601200,36.75
2016-07-06,39.50,39.50,36.31,37.75,1004300,37.75
2016-07-05,39.50,39.85,38.15,38.75,630900,38.75
2016-07-04,39.50,40.20,38.925,39.00,746500,39.00
2016-07-01,39.50,41.375,38.96,39.00,1493600,39.00
2016-06-30,39.75,40.50,38.53,39.75,2070700,39.75
2016-06-29,38.00,39.70,37.75,38.00,1776200,38.00
2016-06-28,37.25,40.65,37.00,38.50,1556000,38.50
2016-06-27,48.00,48.00,36.813,37.00,2231200,37.00
2016-06-24,46.00,48.59,38.50,47.00,2719500,47.00
2016-06-23,49.00,51.50,48.535,51.00,1051800,51.00
2016-06-22,50.00,50.63,47.90,48.50,610200,48.50
2016-06-21,49.75,50.537,49.00,49.25,2254000,49.25
2016-06-20,49.75,51.00,48.475,50.00,1227100,50.00
2016-06-17,47.25,49.75,47.25,49.50,1002700,49.50
2016-06-16,48.00,48.25,46.575,47.25,434500,47.25
2016-06-15,50.00,50.50,47.569,48.50,1290700,48.50
2016-06-14,53.00,53.00,46.25,48.75,1590200,48.75
2016-06-13,55.75,55.75,53.00,53.00,446700,53.00
2016-06-10,56.00,57.50,55.50,55.75,1670200,55.75
2016-06-09,59.00,63.00,53.50,55.50,2537400,55.50
2016-06-08,56.00,58.813,55.30,58.75,1038900,58.75
2016-06-07,53.25,56.00,53.08,56.00,437400,56.00
2016-06-06,53.00,54.75,53.00,54.75,413500,54.75
2016-06-03,51.75,53.975,51.75,53.00,164700,53.00
2016-06-02,52.00,53.00,51.50,52.50,321100,52.50
2016-06-01,52.00,52.875,51.75,52.25,351900,52.25
2016-05-31,53.00,53.65,51.542,52.00,352900,52.00
2016-05-30,53.50,53.50,53.50,53.50,000,53.50
2016-05-27,52.75,54.00,52.75,53.50,187000,53.50
2016-05-26,55.00,55.08,52.725,53.25,501000,53.25
2016-05-25,52.50,55.00,52.25,55.00,352300,55.00
2016-05-24,52.50,52.875,52.00,52.25,295000,52.25
2016-05-23,52.75,53.75,52.25,52.75,271500,52.75
2016-05-20,53.25,54.38,49.975,52.75,650800,52.75
2016-05-19,54.50,56.25,53.25,53.50,306400,53.50
2016-05-18,56.50,57.00,53.525,54.50,400100,54.50
2016-05-17,57.50,57.589,56.00,56.00,200100,56.00
2016-05-16,56.75,57.25,56.25,56.25,280700,56.25
2016-05-13,58.00,58.00,56.50,56.75,155800,56.75
2016-05-12,55.25,57.00,54.58,57.00,447800,57.00
2016-05-11,54.75,55.85,54.25,55.50,171900,55.50
2016-05-10,56.00,57.68,54.75,55.75,289700,55.75
2016-05-09,53.60,56.875,53.60,56.00,217900,56.00
2016-05-06,57.50,58.35,53.25,54.25,395300,54.25
2016-05-05,57.50,59.188,57.50,57.50,331500,57.50
2016-05-04,57.75,59.60,57.50,57.50,110500,57.50
2016-05-03,58.75,59.50,57.75,57.75,343700,57.75
2016-04-29,59.00,60.75,58.65,58.75,432500,58.75
2016-04-28,56.00,58.75,56.00,57.75,2115800,57.75
2016-04-27,55.00,56.913,55.00,56.00,320000,56.00
2016-04-26,57.25,57.81,53.00,55.375,405700,55.375
2016-04-25,57.50,58.00,57.188,57.75,449900,57.75
2016-04-22,57.50,59.25,57.50,58.50,212100,58.50
2016-04-21,57.00,58.46,57.00,57.50,521100,57.50
2016-04-20,60.00,60.00,56.87,57.00,542700,57.00
2016-04-19,57.25,58.57,57.00,57.00,416800,57.00
2016-04-18,59.50,59.50,57.25,57.25,197700,57.25
2016-04-15,58.00,59.055,57.00,57.00,472400,57.00
2016-04-14,57.25,58.93,57.25,57.75,431800,57.75
2016-04-13,57.50,58.75,57.25,57.25,628000,57.25
2016-04-12,57.00,58.25,57.00,58.00,577700,58.00
2016-04-11,56.00,59.00,55.70,57.25,584500,57.25
2016-04-08,58.75,59.50,56.50,57.75,587200,57.75
2016-04-07,65.00,65.00,52.38,58.50,2187200,58.50
2016-04-06,63.00,65.77,63.00,64.00,273400,64.00
2016-04-05,65.50,65.50,63.00,63.75,203600,63.75
2016-04-04,65.00,65.363,63.85,64.50,321300,64.50
2016-04-01,63.25,67.00,63.25,63.50,1140700,63.50
2016-03-31,63.00,64.00,63.00,63.75,159100,63.75
2016-03-30,63.50,64.00,62.55,63.00,210100,63.00
2016-03-29,64.00,64.50,63.00,63.50,275400,63.50
2016-03-28,63.75,63.75,63.75,63.75,000,63.75
2016-03-24,66.00,66.00,63.58,63.75,248300,63.75
2016-03-23,64.00,64.00,63.00,63.00,304100,63.00
2016-03-22,63.00,64.50,62.50,63.75,252700,63.75
2016-03-21,63.00,64.88,63.00,64.00,212800,64.00
2016-03-18,64.75,65.788,63.00,63.00,566600,63.00
2016-03-17,64.75,66.00,63.65,65.25,287600,65.25
2016-03-16,63.75,64.00,63.00,63.75,243800,63.75
2016-03-15,64.00,64.75,63.00,63.00,276700,63.00
2016-03-14,63.50,64.375,63.25,63.25,110400,63.25
2016-03-11,64.00,64.313,62.00,62.00,364900,62.00
2016-03-10,64.00,65.00,63.00,63.00,142000,63.00
2016-03-09,63.00,66.00,62.25,62.25,364600,62.25
2016-03-08,67.50,68.363,60.90,62.75,1199000,62.75
2016-03-07,69.00,69.175,68.00,68.00,116800,68.00
2016-03-04,68.00,69.00,67.31,68.00,252000,68.00
2016-03-03,69.75,69.75,67.00,67.25,200900,67.25
2016-03-02,70.00,70.00,67.60,68.75,146500,68.75
2016-03-01,67.50,68.75,67.30,67.75,272800,67.75
2016-02-29,70.00,70.90,67.50,67.50,341500,67.50
2016-02-26,69.75,71.00,68.475,71.00,306200,71.00
2016-02-25,69.00,70.50,67.60,69.00,169700,69.00
2016-02-24,69.50,70.00,67.25,69.00,302900,69.00
2016-02-23,70.00,71.00,67.60,69.75,317800,69.75
2016-02-22,71.00,72.15,70.00,71.00,146400,71.00
2016-02-19,71.50,71.75,70.50,70.75,111900,70.75
2016-02-18,70.00,71.86,70.00,71.50,133100,71.50
2016-02-17,71.00,71.50,70.50,70.50,195700,70.50
2016-02-16,70.50,71.70,69.50,70.50,43000,70.50
2016-02-15,73.00,73.00,70.00,70.00,108600,70.00
2016-02-12,72.00,72.00,70.25,70.50,141600,70.50
2016-02-11,70.50,70.555,69.00,69.75,253900,69.75
2016-02-10,65.25,73.00,65.25,71.00,1785300,71.00
2016-02-09,70.75,70.75,64.95,67.00,339400,67.00
2016-02-08,70.75,71.75,69.50,70.75,306900,70.75
2016-02-05,71.00,71.825,68.00,70.50,302900,70.50
2016-02-04,73.50,73.50,71.00,71.25,138300,71.25
2016-02-03,72.25,72.80,68.25,70.00,571400,70.00
2016-02-02,74.50,74.75,71.50,71.50,470300,71.50
2016-02-01,73.50,75.00,72.00,74.50,366600,74.50
2016-01-29,79.00,80.75,71.583,74.00,971200,74.00
2016-01-28,79.75,83.275,75.33,80.00,988700,80.00
2016-01-27,82.00,84.50,82.00,84.50,409000,84.50
2016-01-26,81.00,85.19,81.00,84.25,373400,84.25
2016-01-25,87.00,87.00,81.425,85.00,258600,85.00
2016-01-22,82.50,86.50,82.50,84.75,818500,84.75
2016-01-21,79.25,82.50,78.125,82.00,380900,82.00
2016-01-20,79.00,80.25,78.525,79.50,147900,79.50
2016-01-19,81.25,82.50,79.88,80.50,127900,80.50
2016-01-18,84.00,84.00,77.50,81.25,467800,81.25
2016-01-15,82.50,84.25,82.00,83.00,607700,83.00
2016-01-14,83.00,83.788,81.75,83.75,581900,83.75
2016-01-13,84.75,84.75,81.25,84.00,815200,84.00
2016-01-12,86.00,89.50,84.00,84.75,495800,84.75
2016-01-11,85.00,89.113,85.00,86.00,251900,86.00
2016-01-08,87.00,90.00,87.00,89.50,346900,89.50
2016-01-07,90.00,90.00,87.625,90.00,471200,90.00
2016-01-06,87.00,89.563,87.00,88.25,312000,88.25
2016-01-05,91.50,91.825,86.75,87.00,389300,87.00
2016-01-04,92.00,92.00,90.787,91.00,197000,91.00
