Date,Open,High,Low,Close,Volume,Adj Close
2015-11-30,90.25,91.75,89.75,90.50,302300,90.50
2015-11-27,88.75,91.25,88.75,91.00,211100,91.00
2015-11-26,88.75,90.55,88.25,89.25,67800,89.25
2015-11-25,89.50,90.25,87.50,90.00,403200,90.00
2015-11-24,90.00,90.75,87.50,88.50,632300,88.50
2015-11-23,91.00,91.00,88.00,88.50,99700,88.50
2015-11-20,89.75,91.00,88.75,91.00,436900,91.00
2015-11-19,88.00,92.00,88.00,91.50,1071800,91.50
2015-11-18,88.00,92.00,86.80,90.00,954000,90.00
2015-11-17,87.75,88.00,85.85,88.00,294100,88.00
2015-11-16,84.00,86.25,80.75,85.75,675400,85.75
2015-11-13,90.00,90.00,84.50,87.00,535200,87.00
2015-11-12,86.25,88.50,84.75,88.00,626100,88.00
2015-11-11,93.00,94.80,85.00,86.50,2929900,86.50
2015-11-10,90.00,92.50,89.25,89.50,516300,89.50
2015-11-09,92.00,93.502,89.00,91.50,1238300,91.50
2015-11-06,89.00,91.85,88.50,90.75,435200,90.75
2015-11-05,89.50,91.00,87.00,91.00,824700,91.00
2015-11-04,90.00,90.028,88.165,89.75,885200,89.75
2015-11-03,90.00,90.00,86.00,90.00,450300,90.00
2015-11-02,91.75,92.90,84.00,89.00,1955800,89.00
2015-10-30,83.00,96.00,83.00,85.75,521500,85.75
2015-10-29,88.00,88.00,83.50,85.00,338900,85.00
2015-10-28,87.00,87.75,85.50,87.50,295000,87.50
2015-10-27,85.00,87.70,84.30,84.50,297300,84.50
2015-10-26,82.50,85.00,82.50,85.00,300400,85.00
2015-10-23,83.00,84.75,81.80,84.75,346100,84.75
2015-10-22,81.00,82.00,79.325,82.00,171100,82.00
2015-10-21,80.00,82.00,78.75,81.50,227300,81.50
2015-10-20,83.00,83.00,77.00,81.25,727800,81.25
2015-10-19,83.00,86.057,82.25,82.25,667500,82.25
2015-10-16,83.00,87.90,83.00,86.25,447100,86.25
2015-10-15,86.00,87.625,85.00,86.00,508300,86.00
2015-10-14,83.00,87.00,80.50,86.00,820100,86.00
2015-10-13,81.00,83.80,80.00,81.00,717600,81.00
2015-10-12,79.75,80.75,77.00,77.25,322500,77.25
2015-10-09,80.75,81.75,78.00,78.00,313500,78.00
2015-10-08,81.50,81.50,76.725,77.50,824000,77.50
2015-10-07,77.00,78.55,76.00,77.00,1234300,77.00
2015-10-06,79.00,79.00,77.00,77.00,83700,77.00
2015-10-05,79.00,79.00,75.75,78.00,168300,78.00
2015-10-02,78.50,78.50,74.25,76.00,165800,76.00
2015-10-01,77.00,77.00,74.00,75.00,223700,75.00
