Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,1412.00,1412.00,1369.59,1380.00,2543800,1380.00
2016-11-29,1410.00,1501.20,1398.00,1410.00,1656900,1410.00
2016-11-28,1400.00,1414.00,1390.00,1408.00,1394800,1408.00
2016-11-25,1416.00,1420.00,1401.50,1403.00,1894600,1403.00
2016-11-24,1420.00,1438.00,1403.80,1409.00,1253300,1409.00
2016-11-23,1437.00,1499.37,1404.00,1425.00,3278000,1425.00
2016-11-22,1432.00,1517.71,1415.00,1424.00,2139200,1424.00
2016-11-21,1454.00,1454.00,1401.00,1416.00,2368200,1416.00
2016-11-18,1437.00,1449.96,1425.00,1427.00,2094900,1427.00
2016-11-17,1397.00,1439.43,1397.00,1439.00,2020900,1439.00
2016-11-16,1437.00,1439.00,1386.00,1397.00,1923800,1397.00
2016-11-15,1418.00,1439.00,1408.00,1431.00,2384600,1431.00
2016-11-14,1412.00,1427.00,1391.00,1409.00,2648800,1409.00
2016-11-11,1403.00,1418.00,1391.00,1409.00,7525300,1409.00
2016-11-10,1406.00,1406.00,1385.48,1399.00,3622800,1399.00
2016-11-09,1335.00,1404.00,1316.00,1394.00,7687200,1394.00
2016-11-08,1365.00,1377.00,1350.00,1366.00,3196200,1366.00
2016-11-07,1302.00,1356.00,1302.00,1342.00,2504000,1342.00
2016-11-04,1286.00,1290.00,1250.00,1277.00,1664200,1277.00
2016-11-03,1275.00,1325.00,1272.00,1297.00,2815300,1297.00
2016-11-02,1283.00,1302.00,1255.25,1285.00,2425000,1285.00
2016-11-01,1271.00,1280.00,1253.00,1273.00,2300400,1273.00
2016-10-31,1263.00,1272.92,1253.00,1256.00,1695200,1256.00
2016-10-28,1247.00,1278.00,1247.00,1272.00,1338800,1272.00
2016-10-27,1277.00,1281.00,1247.00,1252.00,1252800,1252.00
2016-10-26,1249.00,1280.00,1249.00,1273.00,979800,1273.00
2016-10-25,1279.00,1279.76,1251.00,1255.00,941100,1255.00
2016-10-24,1269.00,1279.00,1256.62,1270.00,2017000,1270.00
2016-10-21,1269.00,1284.00,1247.00,1255.00,3220600,1255.00
2016-10-20,1235.00,1281.00,1235.00,1274.00,3758000,1274.00
2016-10-19,1225.00,1244.00,1219.00,1232.00,10286500,1232.00
2016-10-18,1145.00,1240.81,1122.00,1239.00,8421200,1239.00
2016-10-17,1160.00,1187.00,1160.00,1181.00,8137900,1181.00
2016-10-14,1153.00,1175.00,1153.00,1175.00,1293600,1175.00
2016-10-13,1158.00,1160.00,1139.00,1150.00,3216600,1150.00
2016-10-12,1140.00,1158.00,1130.00,1150.00,1765100,1150.00
2016-10-11,1106.00,1141.00,1095.00,1136.00,2272400,1136.00
2016-10-10,1125.00,1129.00,1099.00,1113.00,2817100,1113.00
2016-10-07,1171.00,1172.00,1120.00,1123.00,2771400,1123.00
2016-10-06,1152.00,1199.20,1135.00,1174.00,3702600,1174.00
2016-10-05,1186.00,1205.00,1161.00,1188.00,5101500,1188.00
2016-10-04,1236.00,1245.00,1188.00,1188.00,4685000,1188.00
2016-10-03,1217.00,1231.00,1212.00,1219.00,1210100,1219.00
2016-09-30,1220.00,1228.00,1194.58,1218.00,2016000,1218.00
2016-09-29,1250.00,1250.00,1209.00,1227.00,1918500,1227.00
2016-09-28,1233.00,1260.00,1233.00,1257.00,1412000,1257.00
2016-09-27,1250.00,1250.04,1193.00,1237.00,2299800,1237.00
2016-09-26,1249.00,1250.00,1218.00,1232.00,1085800,1232.00
2016-09-23,1265.00,1277.00,1241.86,1245.00,1159000,1245.00
2016-09-22,1270.00,1281.00,1253.00,1271.00,2324400,1271.00
2016-09-21,1250.00,1279.15,1250.00,1263.00,2735300,1263.00
2016-09-20,1297.00,1307.00,1249.12,1251.00,2910400,1251.00
2016-09-19,1314.00,1321.00,1295.00,1300.00,2500400,1300.00
2016-09-16,1298.00,1324.16,1291.00,1309.00,1828800,1309.00
2016-09-15,1290.00,1318.00,1285.00,1306.00,2241600,1306.00
2016-09-14,1299.00,1304.00,1269.00,1300.00,3687700,1300.00
2016-09-13,1306.00,1323.00,1293.00,1293.00,2263000,1293.00
2016-09-12,1330.00,1334.00,1301.00,1305.00,2745500,1305.00
2016-09-09,1327.00,1353.00,1320.00,1346.00,9063200,1346.00
2016-09-08,1270.00,1331.50,1270.00,1328.00,4088700,1328.00
2016-09-07,1268.00,1286.00,1252.00,1286.00,2798100,1286.00
2016-09-06,1275.00,1286.00,1259.00,1275.00,1916800,1275.00
2016-09-05,1275.00,1275.00,1253.00,1270.00,1002900,1270.00
2016-09-02,1245.00,1271.00,1231.00,1269.00,2558500,1269.00
2016-09-01,1193.00,1233.00,1193.00,1233.00,2193700,1233.00
2016-08-31,1225.00,1227.00,1187.00,1200.00,2560300,1200.00
2016-08-30,1210.00,1234.00,1199.00,1215.00,1144800,1215.00
2016-08-26,1200.00,1203.00,1164.00,1199.00,2191200,1199.00
2016-08-25,1204.00,1206.00,1181.00,1191.00,932700,1191.00
2016-08-24,1188.00,1217.36,1183.00,1217.00,2164000,1217.00
2016-08-23,1215.00,1215.00,1195.00,1197.00,790600,1197.00
2016-08-22,1215.00,1216.00,1190.00,1209.00,872700,1209.00
2016-08-19,1201.00,1205.00,1187.00,1200.00,1949900,1200.00
2016-08-18,1186.00,1210.00,1186.00,1208.00,638000,1208.00
2016-08-17,1195.00,1198.00,1173.00,1185.00,1043400,1185.00
2016-08-16,1219.00,1219.00,1185.00,1192.00,1477100,1192.00
2016-08-15,1227.00,1236.00,1209.00,1209.00,876400,1209.00
2016-08-12,1205.00,1233.00,1199.00,1233.00,1999600,1233.00
2016-08-11,1180.00,1204.00,1178.10,1204.00,882600,1204.00
2016-08-10,1186.00,1207.00,1182.00,1182.00,1016500,1182.00
2016-08-09,1192.00,1215.00,1189.00,1205.00,1336700,1205.00
2016-08-08,1219.00,1219.00,1184.00,1188.00,1436400,1188.00
2016-08-05,1200.00,1214.00,1174.96,1205.00,1024500,1205.00
2016-08-04,1185.00,1185.00,1164.00,1175.00,1027400,1175.00
