Date,Open,High,Low,Close,Volume,Adj Close
2015-11-30,1410.00,1440.00,1410.00,1417.00,1436000,1417.00
2015-11-27,1425.00,1433.00,1404.00,1422.00,1422500,1422.00
2015-11-26,1392.00,1430.00,1386.00,1420.00,1749800,1420.00
2015-11-25,1392.00,1414.00,1380.00,1397.00,1970500,1397.00
2015-11-24,1411.00,1420.00,1368.00,1383.00,2164600,1383.00
2015-11-23,1445.00,1450.00,1422.00,1425.00,829100,1425.00
2015-11-20,1453.00,1455.00,1431.00,1447.00,1463200,1447.00
2015-11-19,1454.00,1470.00,1446.00,1454.00,2335900,1454.00
2015-11-18,1449.00,1462.00,1434.00,1451.00,1603900,1451.00
2015-11-17,1420.00,1463.00,1404.00,1463.00,1632700,1463.00
2015-11-16,1408.00,1430.00,1378.00,1421.00,1978600,1421.00
2015-11-13,1441.00,1455.00,1433.00,1436.00,917000,1436.00
2015-11-12,1446.00,1481.00,1438.00,1449.00,1498300,1449.00
2015-11-11,1445.00,1483.00,1445.00,1457.00,1127400,1457.00
2015-11-10,1467.00,1467.00,1429.00,1454.00,758900,1454.00
2015-11-09,1493.00,1493.00,1441.00,1451.00,2108500,1451.00
2015-11-06,1482.00,1508.00,1476.00,1476.00,2531200,1476.00
2015-11-05,1470.00,1485.00,1447.00,1484.00,1475200,1484.00
2015-11-04,1450.00,1488.00,1438.00,1466.00,2779400,1466.00
2015-11-03,1399.00,1450.00,1384.00,1450.00,4171800,1450.00
2015-11-02,1315.00,1401.00,1301.00,1396.00,3734500,1396.00
2015-10-30,1352.00,1352.00,1317.00,1349.00,1733700,1349.00
2015-10-29,1390.00,1395.00,1333.00,1340.00,2354000,1340.00
2015-10-28,1369.00,1399.00,1352.00,1367.00,950700,1367.00
2015-10-27,1375.004,1377.002,1354.997,1366.004,1364200,1401.03
2015-10-26,1366.999,1370.996,1349.995,1370.996,1314300,1406.15
2015-10-23,1349.00,1365.00,1338.997,1354.997,2499900,1389.74
2015-10-22,1338.002,1349.00,1295.999,1345.997,1635700,1380.51
2015-10-21,1347.002,1347.002,1318.005,1342.00,1189500,1376.41
2015-10-20,1349.995,1352.003,1329.998,1333.001,1210100,1367.18
2015-10-19,1329.998,1345.997,1320.004,1340.001,1025800,1374.36
2015-10-16,1303.00,1334.999,1290.179,1334.999,1570600,1369.23
2015-10-15,1290.998,1304.998,1276.997,1302.005,1044300,1335.39
2015-10-14,1283.003,1294.001,1276.002,1288.004,1117600,1321.03
2015-10-13,1269.996,1294.001,1269.996,1285.001,1534800,1317.95
2015-10-12,1267.003,1288.999,1240.999,1260.002,1874400,1292.31
2015-10-09,1274.003,1283.003,1244.997,1255.995,1394000,1288.20
2015-10-08,1260.997,1283.997,1260.997,1269.002,1565400,1301.54
2015-10-07,1302.005,1310.00,1255.995,1260.997,3238400,1293.33
2015-10-06,1347.996,1357.005,1320.004,1320.004,1929000,1353.85
2015-10-05,1299.997,1349.00,1294.995,1347.002,1327900,1381.54
2015-10-02,1285.001,1313.003,1269.002,1290.003,1943000,1323.08
2015-10-01,1310.00,1334.999,1292.002,1292.996,2006100,1326.15
2015-09-30,1310.00,1324.996,1304.501,1308.996,1364300,1342.56
2015-09-29,1329.998,1329.998,1290.003,1290.998,1549000,1324.10
2015-09-28,1347.002,1349.995,1322.003,1331.996,1556000,1366.15
2015-09-25,1340.001,1349.00,1329.998,1338.997,1545700,1373.33
2015-09-24,1357.999,1400.003,1319.497,1320.004,3426800,1353.85
2015-09-23,1345.003,1407.998,1336.998,1377.997,2426300,1413.33
2015-09-22,1343.998,1361.997,1327.004,1354.002,1712300,1388.72
2015-09-21,1370.002,1370.002,1345.997,1361.997,1457800,1396.92
2015-09-18,1349.995,1359.998,1333.995,1354.002,1469700,1388.72
2015-09-17,1354.997,1359.959,1343.004,1354.997,1392000,1389.74
2015-09-16,1370.002,1384.003,1357.005,1357.999,1410600,1392.82
2015-09-15,1349.995,1372.001,1349.995,1354.997,1667600,1389.74
2015-09-14,1331.996,1368.998,1331.996,1352.998,1192600,1387.69
2015-09-11,1372.995,1388.00,1359.998,1359.998,1477900,1394.87
2015-09-10,1359.998,1402.996,1349.00,1375.998,2318500,1411.28
2015-09-09,1420.00,1425.002,1359.004,1361.003,3734000,1395.90
2015-09-08,1297.998,1313.998,1288.004,1294.001,1423900,1327.18
2015-09-07,1297.004,1299.002,1276.997,1294.995,514600,1328.20
2015-09-04,1279.999,1299.997,1276.002,1278.001,1520400,1310.77
2015-09-03,1271.995,1297.998,1267.997,1288.004,2003500,1321.03
2015-09-02,1210.004,1253.996,1210.004,1251.998,2334600,1284.10
2015-09-01,1203.004,1216.995,1175.996,1212.003,1297300,1243.08
2015-08-31,1226.998,1226.998,1226.998,1226.998,000,1258.46
2015-08-28,1240.999,1242.998,1212.003,1226.998,1203900,1258.46
2015-08-27,1221.997,1246.001,1210.999,1242.998,1303400,1274.87
2015-08-26,1189.003,1205.997,1175.002,1191.996,1275800,1222.56
2015-08-25,1148.004,1203.004,1147.00,1193.995,2102100,1224.61
2015-08-24,1175.002,1185.005,1113.002,1139.999,2462200,1169.23
2015-08-21,1235.003,1258.998,1203.004,1210.004,2285400,1241.03
2015-08-20,1283.997,1283.997,1237.002,1255.001,1356500,1287.18
2015-08-19,1276.997,1281.998,1260.002,1281.998,1048000,1314.87
2015-08-18,1290.003,1290.003,1265.004,1283.997,1898200,1316.92
2015-08-17,1269.996,1278.001,1255.995,1271.995,875100,1304.61
2015-08-14,1279.999,1285.001,1256.999,1274.003,1647600,1306.67
2015-08-13,1255.001,1276.002,1255.001,1274.998,1421100,1307.69
2015-08-12,1265.004,1281.218,1235.003,1255.001,1758500,1287.18
2015-08-11,1287.00,1294.995,1264.00,1278.001,1627600,1310.77
2015-08-10,1258.004,1292.002,1258.004,1283.997,1606800,1316.92
2015-08-07,1308.996,1308.996,1271.995,1276.997,1435200,1309.74
2015-08-06,1290.003,1304.004,1281.004,1285.001,1004300,1317.95
2015-08-05,1299.997,1304.004,1279.999,1299.997,1851400,1333.33
2015-08-04,1288.004,1294.995,1271.995,1281.004,1597300,1313.85
2015-08-03,1260.002,1285.001,1249.999,1283.997,1471400,1316.92
2015-07-31,1242.998,1255.995,1235.998,1249.004,3491500,1281.03
2015-07-30,1249.999,1249.999,1223.001,1235.998,2111100,1267.69
2015-07-29,1235.003,1248.00,1226.004,1239.001,1460300,1270.77
2015-07-28,1210.004,1237.002,1210.004,1237.002,2477600,1268.72
2015-07-27,1205.003,1224.005,1189.997,1200.001,2566600,1230.77
2015-07-24,1249.999,1255.001,1226.998,1226.998,1361400,1258.46
2015-07-23,1255.001,1256.999,1246.996,1248.00,1493700,1280.00
2015-07-22,1260.002,1265.004,1240.005,1246.996,4401800,1278.97
2015-07-21,1249.004,1251.998,1235.998,1240.005,1128500,1271.80
2015-07-20,1260.002,1265.004,1239.001,1242.998,1783500,1274.87
2015-07-17,1269.996,1271.00,1248.00,1248.00,2427700,1280.00
2015-07-16,1269.996,1288.999,1256.999,1256.999,1986300,1289.23
2015-07-15,1269.996,1278.001,1255.264,1269.002,1585800,1301.54
2015-07-14,1249.999,1275.495,1249.999,1271.995,2018900,1304.61
2015-07-13,1260.002,1267.997,1246.001,1262.001,1550300,1294.36
2015-07-10,1230.002,1260.002,1228.003,1237.997,2820900,1269.74
2015-07-09,1182.002,1219.004,1180.004,1210.999,1753800,1242.05
2015-07-08,1186.00,1194.999,1177.995,1178.999,1780900,1209.23
2015-07-07,1219.998,1232.00,1189.003,1189.003,3676900,1219.49
2015-07-06,1205.003,1228.003,1196.998,1200.001,1499100,1230.77
2015-07-03,1242.998,1242.998,1210.999,1210.999,975400,1242.05
2015-07-02,1240.999,1249.004,1225.00,1232.00,2239900,1263.59
2015-07-01,1198.997,1233.999,1196.003,1230.002,2465300,1261.54
2015-06-30,1191.996,1202.253,1173.998,1180.998,3356500,1211.28
2015-06-29,1175.002,1217.999,1175.002,1200.001,2070400,1230.77
2015-06-26,1235.003,1237.002,1212.998,1230.996,1014600,1262.56
2015-06-25,1219.998,1258.004,1216.001,1230.996,2549500,1262.56
2015-06-24,1207.001,1228.997,1196.998,1228.003,1680000,1259.49
2015-06-23,1219.998,1221.997,1200.001,1200.001,1874800,1230.77
2015-06-22,1200.001,1221.997,1185.005,1221.997,2299300,1253.33
2015-06-19,1143.997,1189.003,1143.997,1186.00,2145600,1216.41
2015-06-18,1139.999,1164.004,1127.003,1152.002,1293200,1181.54
2015-06-17,1164.998,1173.003,1138.995,1143.997,2227800,1173.33
2015-06-16,1162.999,1171.004,1148.004,1164.998,1848400,1194.87
2015-06-15,1182.997,1182.997,1159.997,1171.999,1355000,1202.05
2015-06-12,1187.998,1191.002,1171.004,1189.997,1818800,1220.51
2015-06-11,1168.996,1189.997,1161.001,1185.005,1656600,1215.39
2015-06-10,1157.998,1175.996,1147.00,1173.998,1878100,1204.10
2015-06-09,1161.001,1175.996,1150.003,1159.002,2337900,1188.72
2015-06-08,1177.001,1177.995,1162.999,1166.997,1659200,1196.92
2015-06-05,1180.004,1182.002,1166.003,1173.998,2080100,1204.10
2015-06-04,1173.003,1185.005,1149.301,1182.002,2987000,1212.31
2015-06-03,1159.997,1191.002,1154.995,1166.997,3706300,1196.92
2015-06-02,1170.00,1170.00,1146.005,1154.995,3218400,1184.61
2015-06-01,1150.003,1175.002,1148.998,1161.001,2266800,1190.77
2015-05-29,1180.004,1193.00,1152.996,1157.003,8042200,1186.67
2015-05-28,1170.00,1182.997,1157.003,1182.997,3497400,1213.33
2015-05-27,1139.999,1175.226,1139.999,1175.002,4749100,1205.13
2015-05-26,1154.995,1170.00,1127.003,1148.004,6789400,1177.44
2015-05-25,1092.00,1092.00,1092.00,1092.00,000,1120.00
2015-05-22,1070.004,1092.00,1058.996,1092.00,2223500,1120.00
2015-05-21,1077.999,1079.003,1063.998,1074.996,2362600,1102.56
2015-05-20,1100.999,1100.999,1070.004,1079.998,3266100,1107.69
2015-05-19,1109.998,1115.00,1088.003,1097.002,2437700,1125.13
2015-05-18,1120.002,1120.002,1079.998,1097.996,2312500,1126.15
2015-05-15,1102.998,1120.002,1097.996,1111.003,944800,1139.49
2015-05-14,1095.003,1107.005,1088.003,1106.001,2019600,1134.36
2015-05-13,1097.002,1116.248,1094.184,1097.996,2472900,1126.15
2015-05-12,1099.995,1104.002,1074.996,1088.997,4127700,1116.92
2015-05-11,1150.997,1150.997,1123.999,1127.003,1607600,1155.90
2015-05-08,1139.999,1156.964,1131.00,1141.004,2135100,1170.26
2015-05-07,1079.003,1131.00,1079.003,1123.999,3192700,1152.82
2015-05-06,1102.998,1102.998,1074.996,1084.999,2204000,1112.82
2015-05-05,1118.003,1118.003,1088.003,1108.00,3375000,1136.41
2015-05-04,1093.999,1093.999,1093.999,1093.999,000,1122.05
2015-05-01,1074.996,1097.996,1047.998,1093.999,973700,1122.05
2015-04-30,1084.005,1084.005,1040.998,1053.00,3018900,1080.00
2015-04-29,1109.998,1109.998,1060.001,1065.002,2378400,1092.31
2015-04-28,1118.998,1118.998,1076.995,1097.002,2025400,1125.13
2015-04-27,1115.995,1125.004,1111.997,1116.999,1294400,1145.64
2015-04-24,1132.999,1134.998,1116.999,1120.997,1266600,1149.74
2015-04-23,1141.998,1145.001,1127.997,1134.003,979900,1163.08
2015-04-22,1150.003,1162.999,1136.996,1141.998,1353800,1171.28
2015-04-21,1111.997,1147.00,1108.00,1143.002,2618700,1172.31
2015-04-20,1111.003,1125.004,1099.995,1111.003,1278600,1139.49
2015-04-17,1109.998,1115.00,1091.698,1099.001,1680800,1127.18
2015-04-16,1106.001,1123.005,1092.00,1120.002,2612800,1148.72
2015-04-15,1139.999,1139.999,1115.00,1116.999,1712300,1145.64
2015-04-14,1129.996,1143.002,1129.001,1131.00,1673200,1160.00
2015-04-13,1138.001,1143.002,1127.003,1136.002,1321700,1165.13
2015-04-10,1129.996,1141.004,1120.997,1138.001,1718000,1167.18
2015-04-09,1113.996,1145.001,1111.003,1123.999,2684300,1152.82
2015-04-08,1107.005,1123.005,1097.996,1102.998,2659900,1131.28
2015-04-07,1074.996,1120.997,1074.996,1102.998,2987100,1131.28
2015-04-06,1086.004,1086.004,1086.004,1086.004,000,1113.85
2015-04-03,1086.004,1086.004,1086.004,1086.004,000,1113.85
2015-04-02,1104.002,1104.002,1084.999,1086.004,1862300,1113.85
2015-04-01,1104.002,1123.999,1104.002,1104.002,2528900,1132.31
2015-03-31,1097.996,1122.937,1093.258,1111.003,3688100,1139.49
2015-03-30,1067.001,1095.998,1067.001,1092.00,1653300,1120.00
2015-03-27,1060.995,1079.003,1054.999,1056.998,1925800,1084.10
2015-03-26,1060.995,1063.004,1001.403,1058.002,5917300,1085.13
2015-03-25,1079.003,1104.997,1067.001,1076.00,2886500,1103.59
2015-03-24,1063.998,1081.997,1042.002,1081.997,3279100,1109.74
2015-03-23,1072.003,1072.003,1051.996,1058.002,1565800,1085.13
2015-03-20,1070.004,1076.00,1065.002,1070.998,1678800,1098.46
2015-03-19,1060.995,1077.999,1051.996,1069.00,2053200,1096.41
2015-03-18,1079.003,1079.003,1045.005,1060.995,2638600,1088.20
2015-03-17,1081.997,1086.004,1051.996,1060.001,2642500,1087.18
2015-03-16,1084.005,1094.496,1072.997,1092.00,1876500,1120.00
2015-03-13,1092.00,1099.995,1076.00,1079.998,1884100,1107.69
2015-03-12,1053.00,1090.996,1053.00,1084.999,2948900,1112.82
2015-03-11,1031.998,1053.00,1031.998,1049.997,2566700,1076.92
2015-03-10,1031.998,1058.002,1031.998,1047.004,1834300,1073.85
2015-03-09,1005.001,1047.998,1005.001,1047.004,2203200,1073.85
2015-03-06,1008.998,1030.00,1008.998,1019.002,1477200,1045.13
2015-03-05,1019.996,1029.005,1012.001,1021.995,1620300,1048.20
2015-03-04,996.499,1019.996,993.496,1015.999,2215900,1042.05
2015-03-03,1012.001,1012.001,985.004,987.997,1895100,1013.33
2015-03-02,989.001,1008.998,989.001,994.003,1324600,1019.49
2015-02-27,999.999,1015.004,996.499,1005.001,1719200,1030.77
2015-02-26,1001.003,1001.003,991.497,996.499,1116800,1022.05
2015-02-25,993.496,1008.998,993.496,1003.997,986100,1029.74
2015-02-24,1017.003,1017.998,994.003,996.996,1622000,1022.56
2015-02-23,994.003,1019.996,982.498,1017.003,1826500,1043.08
2015-02-20,987.997,996.499,981.503,982.001,2092900,1007.18
2015-02-19,976.999,998.498,972.00,996.499,2802600,1022.05
2015-02-18,964.00,978.50,960.00,970.50,2882700,995.385
2015-02-17,960.00,970.50,952.50,963.50,2509600,988.205
2015-02-16,946.00,961.50,935.00,960.00,1710200,984.615
2015-02-13,983.005,989.498,940.00,940.00,3367700,964.103
2015-02-12,974.00,983.999,958.00,979.495,2721500,1004.61
2015-02-11,987.002,1012.001,985.501,1012.001,3192300,1037.95
2015-02-10,955.00,990.005,955.00,990.005,3428400,1015.39
2015-02-09,977.496,982.868,948.00,958.00,2706100,982.564
2015-02-06,971.00,990.005,962.897,987.002,2730200,1012.31
2015-02-05,992.004,1005.001,973.00,980.002,3138400,1005.13
2015-02-04,999.999,1001.998,975.00,990.005,3878400,1015.39
2015-02-03,978.003,1003.997,976.004,997.503,3242900,1023.08
2015-02-02,1019.002,1028.157,960.105,977.496,7943000,1002.56
2015-01-30,1070.998,1078.935,1026.002,1040.003,3022400,1066.67
2015-01-29,1037.995,1051.996,1031.004,1049.997,1603200,1076.92
2015-01-28,1051.996,1053.00,1026.997,1040.998,2104300,1067.69
2015-01-27,1033.997,1079.998,1033.997,1054.999,2687100,1082.05
2015-01-26,1035.002,1060.995,1024.998,1033.997,1884700,1060.51
2015-01-23,1014.00,1054.004,1000.994,1031.004,2836700,1057.44
2015-01-22,998.498,1012.996,987.997,1012.996,2938100,1038.97
2015-01-21,998.498,1010.003,985.998,998.995,2001800,1024.61
2015-01-20,980.002,1001.998,973.50,998.00,2482700,1023.59
2015-01-19,961.00,973.00,954.14,973.00,1135500,997.949
2015-01-16,976.004,978.90,946.00,962.00,2498600,986.667
2015-01-15,978.998,992.999,974.00,982.001,2460200,1007.18
2015-01-14,973.50,988.504,967.00,983.502,2327900,1008.72
2015-01-13,964.00,986.495,957.50,985.004,1989500,1010.26
2015-01-12,960.00,967.50,954.50,964.00,1584000,988.718
2015-01-09,938.50,961.00,938.00,950.00,3647600,974.359
2015-01-08,971.50,976.404,935.00,935.00,3207400,958.974
2015-01-07,972.00,983.502,951.50,954.00,3081600,978.462
2015-01-06,999.999,999.999,952.50,952.50,2423600,976.923
2015-01-05,980.996,1017.998,980.996,992.501,2269000,1017.95
2015-01-02,990.005,1030.00,970.50,980.002,1673900,1005.13
2015-01-01,978.998,978.998,978.998,978.998,000,1004.10
