Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,84.10,85.05,83.087,84.70,6677600,84.215
2016-11-29,82.10,85.20,81.75,83.90,8131700,83.419
2016-11-28,80.50,82.60,79.05,82.35,12590900,81.878
2016-11-25,81.50,81.50,79.95,80.40,7419900,79.939
2016-11-24,82.00,82.85,79.70,80.90,17541800,80.436
2016-11-23,77.50,82.00,75.768,79.00,23409000,78.547
2016-11-22,72.95,73.81,72.05,73.55,8397500,73.129
2016-11-21,72.60,72.692,70.80,72.00,6193200,71.587
2016-11-18,71.50,72.35,70.40,71.90,7877500,71.488
2016-11-17,70.00,71.40,69.40,70.95,4382700,70.543
2016-11-16,71.20,71.76,69.55,69.75,3291300,69.35
2016-11-15,71.40,71.85,70.25,71.15,2700100,70.742
2016-11-14,70.75,71.40,69.15,70.90,2575800,70.494
2016-11-11,72.00,72.05,68.80,70.00,5093600,69.599
2016-11-10,72.55,73.016,70.95,71.45,4835000,71.041
2016-11-09,70.20,72.10,67.834,71.75,4619400,71.339
2016-11-08,71.80,72.40,70.622,71.55,3121100,71.14
2016-11-07,71.95,72.20,70.95,72.15,4803000,71.737
2016-11-04,70.85,71.434,69.55,70.40,4825000,69.997
2016-11-03,69.55,72.10,69.55,70.75,6765500,70.345
2016-11-02,68.30,70.10,68.25,69.25,3507600,68.853
2016-11-01,70.15,70.15,68.796,69.55,2989100,69.151
2016-10-31,70.10,70.994,69.40,69.50,2853400,69.102
2016-10-28,69.75,70.75,68.30,70.55,4718600,70.146
2016-10-27,70.15,70.50,68.45,69.95,3266700,69.549
2016-10-26,68.55,70.20,67.80,70.00,4834200,69.599
2016-10-25,69.65,69.65,67.95,68.00,4216500,67.61
2016-10-24,69.05,69.96,68.18,69.00,6614200,68.605
2016-10-21,69.20,69.25,67.85,68.15,3088900,67.759
2016-10-20,67.85,69.50,67.50,68.80,4573600,68.406
2016-10-19,68.15,68.70,67.186,67.60,4221400,67.213
2016-10-18,65.70,70.35,65.70,68.30,6524100,67.909
2016-10-17,68.05,68.05,66.45,67.00,3235200,66.616
