Date,Open,High,Low,Close,Volume,Adj Close
2015-11-30,116.40,120.10,115.90,119.90,6898900,119.213
2015-11-27,113.60,118.30,112.123,117.90,7995400,117.224
2015-11-26,109.60,115.50,108.604,113.70,6719100,113.048
2015-11-25,103.00,109.10,102.50,109.00,15844600,108.375
2015-11-24,102.10,102.60,97.65,98.35,9856000,97.786
2015-11-23,104.00,104.00,100.64,102.10,6259800,101.515
2015-11-20,105.50,106.588,103.70,104.00,3673600,103.404
2015-11-19,106.10,107.40,105.90,106.00,2774600,105.393
2015-11-18,104.40,106.30,103.30,105.90,9507300,105.293
2015-11-17,102.90,105.10,102.40,104.40,6330400,103.802
2015-11-16,104.10,105.90,100.536,101.90,7394100,101.316
2015-11-13,110.30,111.48,105.70,107.00,5255800,106.387
2015-11-12,113.50,113.60,110.40,111.20,2903800,110.563
2015-11-11,112.00,113.40,111.30,113.40,2707700,112.75
2015-11-10,114.50,114.50,110.60,111.20,4273100,110.563
2015-11-09,116.00,116.00,113.40,113.80,3026000,113.148
2015-11-06,113.10,117.50,111.90,115.20,5535500,114.54
2015-11-05,118.40,118.403,110.90,112.20,8773500,111.557
2015-11-04,122.20,122.80,121.00,121.00,2987100,120.307
2015-11-03,122.30,122.30,121.30,122.10,2640300,121.40
2015-11-02,121.60,123.10,121.60,121.80,2316100,121.102
2015-10-30,122.50,122.92,121.80,122.90,3605400,122.196
2015-10-29,122.70,122.79,120.94,121.90,3765800,121.201
2015-10-28,122.70,123.40,121.40,122.50,3539000,121.798
2015-10-27,124.60,125.64,123.00,123.00,3126300,122.295
2015-10-26,125.40,126.90,124.60,124.60,2442900,123.886
2015-10-23,124.70,127.20,123.70,126.00,3530200,125.278
2015-10-22,122.70,124.20,121.70,123.80,2011300,123.091
2015-10-21,123.10,124.70,121.96,123.20,3778700,122.494
2015-10-20,121.60,123.20,120.90,122.70,2706400,121.997
2015-10-19,119.90,121.50,118.304,121.30,1965900,120.605
2015-10-16,120.40,122.60,120.10,120.30,2320100,119.611
2015-10-15,119.80,120.328,118.40,120.30,2392000,119.611
2015-10-14,118.40,120.20,118.40,119.40,1649200,118.716
2015-10-13,119.70,120.80,118.40,120.00,2119200,119.312
2015-10-12,121.40,122.00,119.595,119.80,5742900,119.113
2015-10-09,122.00,122.60,121.45,121.90,2387800,121.201
2015-10-08,120.30,121.50,119.34,121.50,3472300,120.804
2015-10-07,121.20,121.70,119.09,119.80,4461400,119.113
2015-10-06,122.00,122.00,120.50,120.90,5335300,120.207
2015-10-05,122.00,122.90,121.20,121.50,4023800,120.804
2015-10-02,120.60,122.20,119.30,120.00,3645900,119.312
2015-10-01,116.80,120.55,116.80,119.70,5605600,119.014
2015-09-30,114.60,116.40,113.92,115.70,4437300,115.037
2015-09-29,114.60,114.90,112.40,112.40,4034200,111.756
2015-09-28,117.50,118.224,114.70,115.60,3417700,114.938
2015-09-25,120.70,120.76,118.20,118.20,4138800,117.523
2015-09-24,118.60,122.436,117.00,119.00,6627300,118.318
2015-09-23,114.70,116.66,112.80,115.90,4619200,115.236
2015-09-22,119.20,120.80,114.00,114.20,7628000,113.546
2015-09-21,119.40,120.70,118.65,119.20,3737900,118.517
2015-09-18,118.40,119.20,117.60,119.00,4990200,118.318
2015-09-17,118.80,120.26,118.50,119.40,2644400,118.716
2015-09-16,118.00,119.00,117.10,118.40,4760100,117.721
2015-09-15,115.50,117.00,115.20,116.70,14407200,116.031
2015-09-14,113.40,116.20,113.40,114.10,3858600,113.446
2015-09-11,114.40,115.30,113.00,114.30,4477500,113.645
2015-09-10,111.90,114.30,111.30,113.50,11108600,112.85
2015-09-09,111.00,113.84,110.10,112.50,8627300,111.855
2015-09-08,106.10,109.40,106.10,108.60,5799400,107.978
2015-09-07,106.20,107.00,104.80,105.90,2259000,105.293
2015-09-04,108.90,108.90,105.40,105.50,5794700,104.895
2015-09-03,106.00,109.833,105.80,108.70,8073800,108.077
2015-09-02,103.40,104.90,102.10,103.70,3907600,103.106
2015-09-01,105.20,106.12,102.70,103.40,4248200,102.807
2015-08-31,107.20,107.20,107.20,107.20,000,106.586
2015-08-28,107.10,107.592,105.90,107.20,3651600,106.586
2015-08-27,106.60,107.11,105.50,106.70,3716700,106.089
2015-08-26,102.80,105.70,101.403,103.80,5284400,103.205
2015-08-25,102.00,106.40,101.70,104.30,11612300,103.702
2015-08-24,105.20,105.20,99.05,100.90,11381100,100.322
2015-08-21,111.00,111.70,107.70,107.90,5786100,107.282
2015-08-20,111.20,113.10,109.97,111.40,5864900,110.762
2015-08-19,113.50,114.60,111.90,112.20,3969200,111.557
2015-08-18,114.20,115.20,113.30,113.80,2470300,113.148
2015-08-17,115.90,115.90,113.50,114.50,3184800,113.844
2015-08-14,116.00,117.40,113.90,114.80,3334900,114.142
2015-08-13,114.30,117.10,114.00,115.60,6014700,114.938
2015-08-12,114.70,115.256,111.20,112.40,7190500,111.756
2015-08-11,115.50,116.692,115.40,116.00,5840700,115.335
2015-08-10,116.80,117.30,115.60,116.40,9033800,115.733
2015-08-07,116.00,117.80,115.277,116.80,3627000,116.131
2015-08-06,118.20,118.90,116.20,116.30,4184600,115.634
2015-08-05,117.50,119.00,115.50,118.80,7184400,118.119
2015-08-04,117.20,118.70,116.20,118.50,5855000,117.821
2015-08-03,119.40,119.90,116.28,116.90,7443500,116.23
2015-07-31,126.90,126.90,117.50,119.90,14716700,119.213
2015-07-30,124.00,130.11,122.00,125.90,13215300,125.179
2015-07-29,126.10,126.60,124.40,126.40,3703700,125.676
2015-07-28,124.40,125.90,123.20,125.30,5938300,124.582
2015-07-27,125.80,125.90,123.00,124.20,5093900,123.488
2015-07-24,128.50,130.73,125.50,125.80,3483400,125.079
2015-07-23,130.00,131.60,128.70,129.20,3818300,128.46
2015-07-22,129.00,132.00,128.44,129.60,2684300,128.857
2015-07-21,130.70,130.80,129.20,129.50,2384900,128.758
2015-07-20,130.30,131.20,129.54,129.70,2330100,128.957
2015-07-17,129.60,131.50,128.90,130.30,2499100,129.553
2015-07-16,130.30,131.40,129.35,129.60,4969500,128.857
2015-07-15,130.40,130.40,128.51,130.00,2250900,129.255
2015-07-14,130.70,130.80,129.272,129.90,3241100,129.156
2015-07-13,128.40,131.50,128.40,130.40,3189600,129.653
2015-07-10,128.00,128.90,126.80,127.70,5531500,126.968
2015-07-09,123.40,126.93,123.34,126.60,4248200,125.874
2015-07-08,123.80,124.10,122.10,123.20,3638000,122.494
2015-07-07,125.00,126.90,122.70,123.60,6913700,122.892
2015-07-06,131.00,131.00,125.10,125.60,7411500,124.88
2015-07-03,134.20,134.796,131.10,131.90,4724000,131.144
2015-07-02,136.40,136.70,134.20,134.90,5620100,134.127
2015-07-01,137.50,138.80,134.60,136.50,6755900,135.718
2015-06-30,138.10,138.70,136.60,136.80,6237400,136.016
2015-06-29,139.90,140.60,132.70,138.80,9996200,138.005
2015-06-26,145.40,146.50,143.60,144.20,3704000,143.374
2015-06-25,146.00,146.80,144.90,145.20,2548100,144.368
2015-06-24,145.00,147.40,143.30,146.80,5463800,145.959
2015-06-23,147.20,147.72,144.30,145.20,3487900,144.368
2015-06-22,144.60,146.70,141.00,146.60,5729800,145.76
2015-06-19,139.20,144.10,139.20,142.60,10249900,141.783
2015-06-18,139.50,140.20,135.60,140.00,8547900,139.198
2015-06-17,138.80,141.40,137.70,139.40,7202200,138.601
2015-06-16,139.60,139.60,135.20,137.60,9552400,136.811
2015-06-15,138.90,142.30,137.90,139.70,8110100,138.899
2015-06-12,139.40,142.20,137.672,138.90,4303400,138.104
2015-06-11,142.40,145.00,139.87,140.70,6356500,139.894
2015-06-10,143.10,143.50,141.60,142.60,6349900,141.783
2015-06-09,142.70,144.20,142.30,142.90,2342600,142.081
2015-06-08,146.10,146.30,142.97,143.40,6028000,142.578
2015-06-05,143.50,147.772,142.00,146.50,6270000,145.66
2015-06-04,142.50,145.13,141.70,143.70,5597000,142.876
2015-06-03,143.80,145.30,143.10,143.10,6094700,142.28
2015-06-02,142.60,144.90,140.70,144.70,6683000,143.871
2015-06-01,143.80,145.30,141.60,142.00,4545400,141.186
2015-05-29,144.00,146.10,142.90,144.30,6331200,143.473
2015-05-28,145.60,146.80,143.60,143.60,3443100,142.777
2015-05-27,145.10,146.20,143.80,145.60,4974900,144.766
2015-05-26,146.30,147.33,143.80,145.20,4872700,144.368
2015-05-25,147.30,147.30,147.30,147.30,000,146.456
2015-05-22,149.00,151.336,146.56,147.30,5704900,146.456
2015-05-21,154.70,154.70,145.50,148.40,11923400,147.55
2015-05-20,160.10,160.50,152.10,152.10,12591500,151.228
2015-05-19,155.50,160.10,154.20,157.00,9643800,156.10
2015-05-18,160.90,160.90,154.30,156.10,5842100,155.205
2015-05-15,157.50,161.70,156.70,161.30,5355100,160.376
2015-05-14,156.40,159.80,154.00,157.10,6073700,156.20
2015-05-13,157.40,162.20,155.70,156.60,8794200,155.703
2015-05-12,153.70,160.60,152.80,156.10,10939200,155.205
2015-05-11,148.50,153.53,148.30,153.00,3743400,152.123
2015-05-08,151.70,154.20,147.80,149.70,6035000,148.842
2015-05-07,145.20,148.70,141.40,148.40,4782800,147.55
2015-05-06,142.60,145.80,142.272,144.90,4643700,144.07
2015-05-05,145.20,145.20,141.90,143.80,3853200,142.976
2015-05-04,142.50,142.50,142.50,142.50,000,141.683
2015-05-01,145.20,145.20,141.80,142.50,2704900,141.683
2015-04-30,144.80,145.10,141.80,143.90,5994900,143.075
2015-04-29,145.30,146.60,142.30,143.90,4159400,143.075
2015-04-28,146.70,147.50,143.10,145.40,4192200,144.567
2015-04-27,147.60,147.60,145.00,147.30,1847600,146.456
2015-04-24,148.30,148.40,146.10,147.10,2674700,146.257
2015-04-23,147.30,148.30,144.50,147.50,2410600,146.655
2015-04-22,148.70,148.70,144.10,146.70,2909300,145.859
2015-04-21,144.20,148.10,143.80,147.30,4675200,146.456
2015-04-20,141.70,145.00,141.00,143.20,2709000,142.379
2015-04-17,145.00,145.00,140.30,142.20,4138900,141.385
2015-04-16,148.00,148.30,143.70,144.20,3490100,143.374
2015-04-15,148.20,149.03,146.10,147.40,6053500,146.555
2015-04-14,148.10,149.80,145.70,147.60,2421400,146.754
2015-04-13,149.80,150.848,148.015,148.80,3265500,147.947
2015-04-10,149.20,150.80,147.70,150.50,2431200,149.638
2015-04-09,148.60,150.00,147.359,148.10,3162600,147.251
2015-04-08,148.90,150.90,146.80,147.70,4548100,146.854
2015-04-07,145.70,151.50,144.80,150.00,7965300,149.14
2015-04-06,144.60,144.60,144.60,144.60,000,143.771
2015-04-03,144.60,144.60,144.60,144.60,000,143.771
2015-04-02,142.10,145.00,139.80,144.60,5633100,143.771
2015-04-01,144.20,144.80,139.40,141.60,6140700,140.789
2015-03-31,144.00,148.044,141.90,145.70,9059900,144.865
2015-03-30,141.70,143.64,140.80,143.10,3968200,142.28
2015-03-27,141.10,142.03,139.40,140.50,4054000,139.695
2015-03-26,139.00,140.755,136.70,139.90,4599400,139.098
2015-03-25,146.00,147.00,139.40,140.00,8255800,139.198
2015-03-24,143.90,149.645,140.20,146.10,6536700,145.263
2015-03-23,144.30,145.36,140.76,142.20,3922200,141.385
2015-03-20,144.00,146.30,141.80,145.60,6588500,144.766
2015-03-19,143.00,146.20,142.40,142.90,4857700,142.081
2015-03-18,148.40,149.30,143.50,144.10,8854000,143.274
2015-03-17,154.90,155.72,150.10,150.60,5606200,149.737
2015-03-16,158.50,158.50,151.80,153.90,8302900,153.018
2015-03-13,149.40,159.20,148.49,158.70,14867900,157.791
2015-03-12,142.20,149.10,141.10,148.60,9250000,147.748
2015-03-11,140.30,142.40,140.00,141.40,4761200,140.59
2015-03-10,145.20,146.33,142.50,143.40,6346000,142.578
2015-03-09,149.90,152.80,143.80,146.20,15930000,145.362
2015-03-06,134.00,150.70,133.993,150.20,50156600,149.339
2015-03-05,118.70,121.028,118.70,120.60,5004100,119.909
2015-03-04,123.80,124.20,116.871,119.80,17582200,119.113
2015-03-03,125.50,127.225,122.70,123.30,3907200,122.593
2015-03-02,124.50,125.70,124.10,124.50,5997100,123.787
2015-02-27,125.90,126.40,123.90,125.10,4926400,124.383
2015-02-26,124.00,125.60,123.10,125.60,3857200,124.88
2015-02-25,124.00,124.10,122.90,123.20,3754900,122.494
2015-02-24,123.90,123.90,122.80,123.60,9354600,122.892
2015-02-23,124.40,125.00,122.50,123.00,4558000,122.295
2015-02-20,121.90,123.30,121.90,123.00,3036800,122.295
2015-02-19,122.50,123.80,121.50,122.80,5447000,122.096
2015-02-18,122.00,122.60,120.80,122.00,5218400,121.301
2015-02-17,123.00,124.38,120.70,121.10,10761100,120.406
2015-02-16,127.30,127.80,123.60,124.00,11639100,123.289
2015-02-13,128.80,128.80,127.60,128.00,7293800,127.266
2015-02-12,126.30,128.50,125.20,128.30,9432400,127.565
2015-02-11,129.80,130.634,124.60,125.90,20936100,125.179
2015-02-10,127.00,134.20,127.00,133.20,13280800,132.437
2015-02-09,126.30,127.90,126.10,127.60,6274100,126.869
2015-02-06,126.10,127.864,126.00,127.30,5118400,126.57
2015-02-05,125.00,127.20,125.00,127.20,4754600,126.471
2015-02-04,130.80,130.80,125.00,126.10,7989700,125.377
2015-02-03,128.70,130.645,128.645,130.00,9065800,129.255
2015-02-02,127.70,128.80,127.40,128.80,6289500,128.062
2015-01-30,126.10,129.30,125.70,128.30,7322300,127.565
2015-01-29,126.80,126.90,125.00,125.80,4384000,125.079
2015-01-28,127.00,128.00,126.00,126.60,3842800,125.874
2015-01-27,127.20,128.659,125.845,126.50,5560600,125.775
2015-01-26,124.30,127.40,124.30,126.70,4866500,125.974
2015-01-23,126.60,127.90,125.00,125.10,6021200,124.383
2015-01-22,125.40,127.30,122.691,126.10,10481400,125.377
2015-01-21,127.20,128.60,126.30,127.80,3792200,127.068
2015-01-20,127.00,128.50,125.808,126.60,4918700,125.874
2015-01-19,129.10,129.40,126.60,127.10,5048800,126.372
2015-01-16,129.10,129.50,127.70,128.50,6387900,127.764
2015-01-15,130.50,130.74,127.864,129.60,5770900,128.857
2015-01-14,130.00,130.20,127.40,129.50,8164200,128.758
2015-01-13,126.80,132.10,126.40,131.40,7055100,130.647
2015-01-12,126.60,128.40,126.356,126.90,5486900,126.173
2015-01-09,126.50,128.20,125.896,126.70,5851900,125.974
2015-01-08,126.40,126.90,124.80,126.70,5804300,125.974
2015-01-07,124.20,125.90,122.70,125.40,6164100,124.681
2015-01-06,126.40,127.40,122.40,122.50,5536000,121.798
2015-01-05,127.80,131.10,125.20,125.40,5256700,124.681
2015-01-02,127.00,130.409,126.424,128.20,3700900,127.465
2015-01-01,127.90,127.90,127.90,127.90,000,127.167
