Country,Currency,Brexit,Day,Month,Month3,Month6
AUS,Australian Dollar,0.511569,0.545759,0.568705,0.583467,0.587079
CAN,Canadian Dollar,0.532174,0.562992,0.587480,0.585119,0.605293
USA,US Dollar,0.682740,0.728900,0.762775,0.763700,0.809700
MEX,Mexican Peso,0.036792,0.038531,0.041027,0.039034,0.039614
PRT,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
ESP,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
AUT,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
FRA,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
BEL,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
IRL,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
NLD,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
LUX,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
DEU,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
CHE,Swiss Franc,0.711892,0.750372,0.771907,0.788397,0.787183
ITA,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
DNK,Danish Krone,0.103638,0.109421,0.112436,0.114888,0.113113
ISL,Icelandic Króna,0.005585,0.006017,0.006259,0.006652,0.007093
NOR,Norwegian Krone,0.082225,0.086420,0.089099,0.093987,0.093040
SWE,Swedish Krona,0.082652,0.086419,0.088006,0.089389,0.086483
FIN,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
CZE,Czech Koruna,0.028489,0.029977,0.030955,0.031695,0.031122
SVN,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
POL,Polish Zloty,0.176330,0.182941,0.191691,0.200146,0.190800
HRV,Croatian Kuna,0.101890,0.107990,0.112450,0.113790,0.111450
SVK,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
HUN,Hungarian Forint,0.002448,0.002561,0.002667,0.002799,0.002706
BIH,Bosnian Convertible Marka,0.391670,0.415390,0.428010,0.438010,0.429430
RUS,Russian Ruble,0.010540,0.011219,0.011768,0.011993,0.013173
EST,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
LVA,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
LTU,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
BLR,Belarusian Ruble,0.000035,0.000037,0.000038,0.000038,0.000041
UKR,Ukrainian Hryvnia,0.027170,0.029580,0.030830,0.029450,0.030780
MDA,Moldovan Leu,0.034700,0.037390,0.038810,0.038960,0.040250
BGR,Bulgarian Lev,0.394010,0.416229,0.427409,0.437826,0.429800
SRB,Serbian Dinar,0.006290,0.006550,0.006780,0.006940,0.006820
MNE,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
ALB,Albanian Lek,0.005580,0.005870,0.006190,0.006220,0.006290
MKD,Macedonian Denar,0.012580,0.013210,0.013660,0.013910,0.013740
ROU,Romanian Leu,0.168940,0.179240,0.187840,0.192540,0.185810
GRC,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
MLT,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
ARG,Argentinian Peso,0.048556,0.048900,0.051232,0.050389,0.051187
URY,Uruguayan Peso,0.022280,0.024010,0.025320,0.026790,0.028200
CHL,Chilean Peso,0.001014,0.001091,0.001170,0.001159,0.001197
PRY,Paraguayan Guaraní,0.000120,0.000130,0.000137,0.000137,0.000140
BRA,Brazilian Real,0.199630,0.216900,0.230930,0.237470,0.239860
BOL,Bolivian Boliviano,0.098180,0.107380,0.111190,0.110290,0.117670
PER,Peruvian Sol,0.207867,0.222412,0.229838,0.227800,0.237794
ECU,US Dollar,0.682740,0.728900,0.762775,0.763700,0.809700
COL,Colombian Peso,0.0002324305,0.0002537266,0.0002589095,0.0002662884,0.0002711362
VEN,Venezuelan Bolívar,0.068342,0.072963,0.076354,0.076485,0.081011
GUY,Guyanese Dollar,0.0032614719,0.0035473388,0.0037216269,0.0037262746,0.0039058067
SUR,Surinamese Dollar,0.0960398716,0.1047625657,0.1083448040,0.0993203967,0.1094607543
GUF,Euro,0.770916,0.813671,0.836383,0.856490,0.840897
