Date,Australian Dollar,Brazilian Real,Canadian Dollar,Chinese Yuan,Euro,Japanese Yen,Polish Zloty,Sweden Krona,Thai Baht,US Dollar
6/20/2016,0.52,-0.51,-1.32,-2.01,-1.05,-4.15,-0.09,-0.37,-1.77,-1.96
6/21/2016,0.31,-0.09,-1.49,-1.75,-0.68,-3.66,0.43,-0.2,-2,-2.14
6/22/2016,0.3,-0.31,-0.6,-1.36,-0.51,-2.77,0.06,-0.03,-1.21,-1.29
6/23/2016,0,0,0,0,0,0,0,0,0,0
6/24/2016,-6.86,-7.96,-6.79,-8.31,-6.27,-12.3,-4.05,-4.76,-8.37,-8.74
6/27/2016,-8.09,-10.49,-9.27,-10.81,-8.54,-15.47,-6.1,-6.83,-11.26,-11.7
6/28/2016,-8.05,-12.18,-9,-10.23,-8.36,-14.2,-6.65,-6.89,-10.83,-11.1
6/29/2016,-7.86,-13.1,-8.71,-9.48,-7.87,-13.2,-6.29,-6.38,-10.29,-10.23
6/30/2016,-8.93,-14.78,-9.82,-10.3,-8.76,-13.93,-8.21,-7.58,-11.24,-11.29
7/1/2016,-9.94,-14.25,-10.16,-10.43,-9.19,-14.65,-7.8,-7.89,-11.57,-11.41
7/4/2016,-10.03,-12.78,-10.51,-10.2,-9.2,-14.57,-7.32,-7.91,-11.59,-11.34
7/5/2016,-10.97,-14.12,-11.32,-11.79,-10.32,-16.92,-8.4,-8.54,-13.07,-13.07
7/6/2016,-12.27,-14.11,-12.1,-12.24,-11.19,-17.77,-9.24,-9.23,-13.55,-13.72
7/7/2016,-11.96,-13.31,-11.96,-12.49,-11.02,-18.37,-9.32,-8.96,-13.59,-13.8
7/8/2016,-12.75,-14.74,-11.46,-12.15,-10.69,-18.31,-9.36,-8.58,-13.5,-13.57
7/11/2016,-12.01,-14.14,-10.58,-11.81,-10.41,-16.23,-8.77,-8.26,-13.27,-13.25
7/12/2016,-11.27,-12.76,-9.41,-9.82,-8.73,-12.95,-7.67,-6.96,-11.42,-11.54
7/13/2016,-11.94,-14.52,-10.59,-10.98,-9.81,-14.06,-8.48,-8.29,-12.27,-12.35
7/14/2016,-10.91,-13.37,-9.87,-9.7,-8.59,-11.99,-7.27,-6.77,-11.31,-11.02
7/15/2016,-11.28,-13.6,-10.33,-10.47,-8.88,-13.21,-7.15,-6.79,-12.41,-11.97
7/18/2016,-10.84,-13.9,-9.96,-9.81,-8.74,-11.63,-8.24,-6.74,-11.97,-11.47
7/19/2016,-10.99,-14.91,-10.55,-11,-9.37,-12.76,-8.65,-7.11,-12.88,-12.55
7/20/2016,-9.67,-14,-9.26,-10.32,-8.36,-11.01,-7.83,-6.31,-11.89,-11.64
7/21/2016,-10.04,-13.65,-9.29,-10.55,-8.63,-11.99,-8.35,-6.43,-12.2,-11.77
7/22/2016,-10.41,-14.76,-9.71,-11.2,-8.93,-12.71,-8.58,-6.52,-12.89,-12.47
7/25/2016,-10.29,-13.76,-8.92,-11.01,-8.9,-12.77,-8.61,-6.58,-12.55,-12.3
7/26/2016,-10.75,-14.11,-9.14,-11.08,-8.84,-13.68,-8.56,-6.39,-12.67,-12.31
7/27/2016,-10.08,-13.93,-8.72,-10.62,-8.93,-12.79,-8.43,-6.19,-12.22,-11.84
7/28/2016,-10.56,-13.98,-9.23,-11.17,-9.44,-13.08,-9.09,-6.47,-12.85,-12.16
7/29/2016,-11.32,-14.3,-9.64,-11.03,-9.85,-15.37,-9.64,-7,-12.72,-11.73
8/1/2016,-10.8,-14.04,-9.27,-11.41,-10.02,-15.38,-9.75,-6.81,-12.96,-12.03
8/2/2016,-10.46,-13.16,-8.25,-10.26,-9.32,-15.49,-9.72,-6.52,-11.84,-10.88
8/3/2016,-10.46,-13.94,-8.67,-10.37,-8.94,-15.4,-10.32,-6.34,-11.45,-11.09
8/4/2016,-12.31,-16.5,-10.46,-11.68,-10.17,-16.76,-11.41,-8.07,-13.07,-12.46
8/5/2016,-12.5,-17.42,-9.71,-11.84,-10.16,-16.53,-11.56,-7.93,-12.95,-12.76
8/7/2016,-12.27,-17.33,-9.58,-11.69,-10.07,-16.38,-11.46,-7.79,-12.86,-12.68
8/8/2016,-13.14,-17.45,-10.02,-11.95,-10.34,-16.24,-11.89,-7.85,-13.35,-12.95
8/9/2016,-13.6,-18.36,-10.61,-12.28,-10.88,-16.98,-12.64,-8.74,-13.84,-13.24
8/10/2016,-13.96,-18.77,-10.98,-12.43,-11.32,-17.41,-13,-9.48,-14.13,-13.15
8/11/2016,-14.16,-18.75,-11.76,-12.93,-11.33,-17.16,-13.08,-9.72,-14.6,-13.49
8/12/2016,-13.88,-17.73,-12.23,-13.09,-11.81,-17.91,-13.32,-10.34,-14.72,-13.77
8/14/2016,-13.93,-17.67,-12.21,-12.89,-11.81,-17.95,-13.27,-10.21,-14.67,-13.75
8/15/2016,-14.43,-18.07,-12.71,-13.3,-12.22,-18.2,-13.79,-10.36,-15.36,-14.03
8/16/2016,-13.61,-16.66,-12.09,-12.35,-11.85,-17.95,-13.33,-9.8,-14.26,-12.92
8/17/2016,-13.17,-16.6,-12.14,-12.26,-11.97,-18.04,-13.15,-9.68,-14.2,-12.94
8/18/2016,-12.66,-14.91,-11.83,-11.73,-11.63,-17.52,-12.77,-9.62,-13.66,-12.15
8/19/2016,-12.56,-16.34,-11.78,-11.75,-11.98,-17.78,-12.79,-9.71,-13.96,-12.72
8/21/2016,-12.42,-16.44,-11.74,-12.27,-11.97,-17.57,-12.81,-9.8,-14.04,-12.73
8/22/2016,-12.2,-16.07,-10.85,-11.41,-11.54,-17.29,-12.28,-9.55,-13.56,-12.3
8/23/2016,-11.61,-14.82,-10.59,-11.15,-11.01,-17.04,-11.76,-9,-13.2,-11.88
8/24/2016,-11.36,-14.82,-10.3,-10.65,-10.46,-16.63,-11.24,-8.54,-12.95,-11.68
8/25/2016,-11.71,-14.99,-10.65,-10.95,-10.93,-16.84,-11.24,-8.77,-13.51,-11.96
8/26/2016,-11.44,-14.39,-10.45,-11.17,-10.59,-16.15,-10.82,-8.33,-13.53,-12.34
8/28/2016,-11.43,-14.59,-10.54,-11.27,-10.63,-16.14,-10.98,-8.37,-13.69,-12.46
8/29/2016,-11.77,-15.43,-10.55,-11.19,-10.7,-16.22,-10.76,-8.66,-13.91,-12.52
8/30/2016,-11.2,-15.47,-10.17,-11.36,-10.54,-15.51,-10.28,-8.12,-14.06,-12.69
8/31/2016,-10.81,-15.28,-9.66,-10.99,-10.24,-14.79,-9.89,-7.42,-13.61,-12.31
9/1/2016,-10.35,-13.75,-8.85,-10.45,-9.63,-14.06,-9.37,-6.6,-12.8,-11.39
9/2/2016,-10.45,-13.6,-9.41,-9.91,-9.17,-13.33,-8.77,-6.04,-12.57,-11.27
9/4/2016,-10.45,-13.55,-9.43,-9.88,-9.13,-13.2,-8.69,-6.08,-12.56,-11.24
9/5/2016,-10.51,-13,-9.77,-9.88,-9,-13.65,-9.04,-6.2,-12.17,-11.18
9/6/2016,-10.87,-14.21,-9.55,-9.17,-9.05,-14.03,-9.34,-6.51,-11.76,-10.4
9/7/2016,-11.4,-14.99,-9.9,-9.9,-9.57,-14.92,-10.12,-7.4,-12.25,-10.99
9/8/2016,-11.24,-14.6,-9.82,-9.92,-10,-14.55,-10.41,-7.64,-12.16,-11.23
9/9/2016,-10.26,-13.31,-9.23,-10.03,-9.97,-14.55,-9.85,-7.37,-12.17,-11.45
9/11/2016,-10.18,-13.28,-9.15,-9.83,-9.93,-14.54,-10.05,-7.23,-12.12,-11.46
9/12/2016,-10.08,-13.48,-8.8,-9.65,-9.53,-14.74,-9.41,-6.91,-11.64,-11
9/13/2016,-9.86,-12.74,-8.96,-10.68,-10.39,-15.16,-10.23,-7.38,-12.46,-11.98
9/14/2016,-9.67,-11.6,-8.37,-10.37,-10.28,-15,-10.45,-7.46,-12.31,-11.61
9/15/2016,-10.18,-12.69,-8.69,-10.21,-10.24,-15.19,-10.63,-7.56,-12.23,-11.61
9/16/2016,-11.5,-15.29,-9.92,-12.06,-11.18,-16.6,-11.92,-8.63,-13.76,-13.23
9/18/2016,-11.43,-15.21,-9.87,-11.99,-11.15,-16.61,-11.93,-8.31,-13.74,-13.2
9/19/2016,-11.83,-14.94,-9.81,-11.9,-11.17,-16.78,-12.08,-8.28,-13.87,-13.01
9/20/2016,-12.36,-15.56,-10.19,-12.14,-11.26,-17.14,-12.17,-8.15,-14.28,-13.34
9/21/2016,-12.9,-16.44,-10.49,-11.82,-11.21,-17.88,-12.35,-8.23,-14.08,-12.99
9/22/2016,-12.77,-15.94,-10.55,-11.56,-11.07,-17.35,-12.43,-8.03,-14.05,-12.72
9/23/2016,-13.29,-16.1,-10.5,-12.29,-12,-17.88,-12.89,-8.92,-14.72,-13.47
9/25/2016,-13.15,-16.02,-10.44,-12.34,-11.97,-17.87,-12.85,-8.87,-14.65,-13.45
9/26/2016,-13.36,-15.99,-10.04,-12.28,-12.12,-18.36,-13.14,-8.86,-14.75,-13.38
9/27/2016,-13.39,-15.96,-9.9,-11.9,-11.54,-18.01,-12.86,-7.93,-14.43,-13.1
9/28/2016,-13.63,-16.33,-10.64,-11.97,-11.54,-17.75,-12.64,-8.19,-14.55,-13.1
9/29/2016,-13.35,-15.61,-10.6,-12.33,-11.92,-17.78,-12.78,-8.54,-14.6,-13.43
9/30/2016,-13.58,-15.56,-10.66,-12.26,-12,-17.53,-13.09,-8.58,-14.77,-13.37
10/2/2016,-13.86,-15.78,-10.97,-12.94,-12.23,-17.74,-13.29,-8.73,-14.94,-13.61
10/3/2016,-14.66,-17.75,-11.64,-13.05,-12.69,-18.13,-13.7,-9.49,-15.49,-14.28
10/4/2016,-14.75,-17.27,-11.99,-13.89,-13.42,-17.86,-14.2,-9.92,-15.92,-15.04
10/5/2016,-14.61,-18.09,-11.89,-13.77,-13.32,-17.23,-14.25,-9.92,-15.67,-14.92
